,rows__row__sentence_good,rows__row__sentence_bad,log(P(S1)),log(P(S2)),log(P(S1)) > log(P(S2)),Confidence,Ppl(S1),Ppl(S2)
0,Amanda was respected by some waitresses.,Amanda was respected by some picture.,-53.19773626327515,-56.75507068634033,1.0,3.5573344230651855,369.023225874246,3320.4886702242693
1,Some lake was passed by some cashiers.,Some lake was passed by some phenomena.,-61.2117862701416,-60.22071647644043,0.0,0.9910697937011719,899.023869755485,805.2805448336618
2,Lisa was kissed by the boys.,Lisa was kissed by the blouses.,-39.27313852310181,-47.15865707397461,1.0,7.885518550872803,273.26673253514184,363.1558693484174
3,Amanda isn't respected by the children.,Amanda isn't respected by the cups.,-46.116249561309814,-54.10653305053711,1.0,7.990283489227295,168.01071027942027,408.23255738705365
4,The glove was noticed by some woman.,The glove was noticed by some mouse.,-47.39175367355347,-50.89022970199585,1.0,3.498476028442383,193.59152695813307,285.5650836569503
5,Gerald is hated by the teachers.,Gerald is hated by the pie.,-39.59590530395508,-47.960533142089844,1.0,8.364627838134766,141.10272383982607,401.4434363985614
6,Most actresses weren't discussed by some offspring.,Most actresses weren't discussed by some ladder.,-65.68553352355957,-66.85215759277344,1.0,1.1666240692138672,238.36293766634185,435.9244166746555
7,These students were talked about by the teacher.,These students were talked about by the books.,-40.415825843811035,-47.1453423500061,1.0,6.729516506195068,89.1791542904213,188.36307911737075
8,Deborah was talked to by the teacher.,Deborah was talked to by the ellipses.,-45.37430763244629,-52.45853233337402,1.0,7.084224700927734,93.45039523294447,79.16579792081001
9,Cafes were cleaned by some lady.,Cafes were cleaned by some hat.,-51.16645860671997,-58.6035590171814,1.0,7.437100410461426,294.4655644561484,672.8393255058368
10,Patricia is referenced by some offspring.,Patricia is referenced by some shawl.,-54.20994567871094,-56.90203857421875,1.0,2.6920928955078125,138.1274596981417,114.6445586736156
11,Galileo is concealed by the woman.,Galileo is concealed by the horse.,-43.95346641540527,-44.679694175720215,1.0,0.7262277603149414,81.07272906812513,87.17951796234419
12,A lot of high schools aren't visited by some teachers.,A lot of high schools aren't visited by some socks.,-55.51816368103027,-63.910887241363525,1.0,8.392723560333252,71.56656355686853,136.48600685529735
13,Andrew was questioned by some pedestrian.,Andrew was questioned by some apple.,-49.756526947021484,-50.679524421691895,1.0,0.9229974746704102,502.4850400160306,1393.9992596763911
14,A lot of computers aren't bought by the senators.,A lot of computers aren't bought by the gate.,-58.718932151794434,-53.21979904174805,0.0,5.499133110046387,91.54594109557104,84.35071229548818
15,Those schools are cleaned by the customers.,Those schools are cleaned by the socks.,-49.9690055847168,-52.48479461669922,1.0,2.515789031982422,516.0097693182261,706.6951092222562
16,Chad wasn't forgotten by the teacher.,Chad wasn't forgotten by the brochure.,-46.87502861022949,-53.15761756896973,1.0,6.282588958740234,108.58169739507332,83.91475516329604
17,Deanna was hired by the offspring.,Deanna was hired by the candles.,-48.00684642791748,-47.783918380737305,0.0,0.22292804718017578,207.28487347800674,202.21353934874563
18,Lisa wasn't cured by the ladies.,Lisa wasn't cured by the deer.,-49.459357261657715,-49.20443058013916,0.0,0.2549266815185547,140.60235461827858,137.06332674098897
19,Valerie was hugged by the pedestrian.,Valerie was hugged by the diagnoses.,-47.314443588256836,-49.87069129943848,1.0,2.5562477111816406,113.45932002800477,146.50640240770167
20,Nina isn't escaped from by some customer.,Nina isn't escaped from by some movies.,-64.46231842041016,-63.49968910217285,0.0,0.9626293182373047,630.3226568696899,572.4749106164176
21,A lot of mountains were ascended by the customer.,A lot of mountains were ascended by the dog.,-48.83068513870239,-46.63378715515137,0.0,2.1968979835510254,84.70318416742555,69.36866106964547
22,Tamara was praised by some waitress.,Tamara was praised by some cups.,-52.250444412231445,-52.33106231689453,1.0,0.08061790466308594,332.15606530740104,693.2445268932225
23,William is discovered by some students.,William is discovered by some pie.,-42.855793952941895,-52.14796590805054,1.0,9.292171955108643,455.89215483649406,1719.363452298388
24,Mitchell was remembered by some men.,Mitchell was remembered by some jacket.,-46.586466789245605,-52.61142444610596,1.0,6.024957656860352,776.820682065497,1837.0527094298072
25,Rachel isn't investigated by the dancer.,Rachel isn't investigated by the books.,-56.33960247039795,-53.43849563598633,0.0,2.901106834411621,279.7678765535594,379.0282066609798
26,Grace was returned to by some cashiers.,Grace was returned to by some theses.,-52.233986377716064,-55.66068649291992,1.0,3.4267001152038574,331.5492163413217,485.1803713232622
27,Michael is loved by some offspring.,Michael is loved by some bicycle.,-47.05559539794922,-51.747215270996094,1.0,4.691619873046875,358.50744422366415,644.4530089593628
28,Nancy wasn't attacked by some actor.,Nancy wasn't attacked by some screens.,-51.252134799957275,-55.98050022125244,1.0,4.728365421295166,297.282137098374,502.7311731123086
29,That company wasn't questioned by the customer.,That company wasn't questioned by the face.,-50.89765548706055,-55.51567554473877,1.0,4.618020057678223,162.35179400293336,257.6411059981259
30,Jill isn't returned to by the doctors.,Jill isn't returned to by the sock.,-51.73793125152588,-58.644176959991455,1.0,6.906245708465576,110.32695723114485,206.70420594482346
31,Ruth was listened to by the senator.,Ruth was listened to by the phenomena.,-44.5273175239563,-48.91097402572632,1.0,4.3836565017700195,140.81961215311085,229.19030153489985
32,Sabrina was listened to by some adult.,Sabrina was listened to by some organization.,-50.84799289703369,-52.65026569366455,1.0,1.8022727966308594,161.5475117344417,193.45144860156978
33,That library was toured by the dancers.,That library was toured by the apples.,-51.7490291595459,-57.240400314331055,1.0,5.491371154785156,176.77945097905823,306.13924009091147
34,Rose isn't seen by the waiters.,Rose isn't seen by the spotlights.,-47.69584655761719,-49.64339256286621,1.0,1.9475460052490234,117.8702750527053,143.2138913257735
35,All closets were bought by the patient.,All closets were bought by the peppers.,-48.188541412353516,-56.591726779937744,1.0,8.403185367584229,211.5121363586411,171.52043851843058
36,Randolf was cared for by the waiter.,Randolf was cared for by the drawing.,-50.05802631378174,-53.50916862487793,1.0,3.4511423110961914,149.2768493712383,382.0162628254968
37,Janet was fired by some offspring.,Janet was fired by some scarves.,-51.728885650634766,-55.101529598236084,1.0,3.3726439476013184,313.45442076123226,455.9541141475646
38,Russell wasn't referenced by some girl.,Russell wasn't referenced by some hat.,-56.179304122924805,-59.59913730621338,1.0,3.419833183288574,275.31899639499034,387.57668679553666
39,Carmen is talked about by the waiters.,Carmen is talked about by the essay.,-42.92035102844238,-50.691261291503906,1.0,7.770910263061523,73.11511397031747,279.3211976554512
40,A story wasn't scanned by the doctor.,A story wasn't scanned by the newspaper article.,-52.057626724243164,-57.18771743774414,1.0,5.130090713500977,113.58046408161074,117.40659952336088
41,Sherry wasn't criticized by some customers.,Sherry wasn't criticized by some casseroles.,-55.44622564315796,-64.13696050643921,1.0,8.69073486328125,154.55746478788944,138.8802910562776
42,Joseph isn't praised by the pedestrians.,Joseph isn't praised by the hypothesis.,-52.92270851135254,-56.53650712966919,1.0,3.6137986183166504,122.87349365346404,534.7685976216109
43,Gregory wasn't helped by some teenager.,Gregory wasn't helped by some legislature.,-55.311707496643066,-56.77788734436035,1.0,1.4661798477172852,466.7273608323544,292.3023566252954
44,Every student was listened to by some guys.,Every student was listened to by some rabbit.,-52.093764781951904,-54.37491416931152,1.0,2.281149387359619,326.42365303921287,229.86482457999682
45,Mitchell isn't hated by some man.,Mitchell isn't hated by some brochures.,-54.572997093200684,-60.12127494812012,1.0,5.548277854919434,429.9488910881739,236.41067708095787
46,Those stairs aren't climbed down by the cashiers.,Those stairs aren't climbed down by the dress.,-64.34405708312988,-62.43478965759277,0.0,1.9092674255371094,213.1518360215306,291.7478695633304
47,Some mushrooms were brought by the actors.,Some mushrooms were brought by the carts.,-50.088815689086914,-51.15711688995361,1.0,1.0683012008666992,261.2359352468511,166.6193199332933
48,Most children aren't listened to by some girls.,Most children aren't listened to by some fungus.,-57.28984308242798,-61.414541244506836,1.0,4.124698162078857,182.75885524117024,112.63984094533005
49,Teresa is attacked by some child.,Teresa is attacked by some cacti.,-45.755496978759766,-46.73453330993652,1.0,0.9790363311767578,304.73334708151094,107.06684199802247
50,A hospital is exited by some adults.,A hospital is exited by some coats.,-52.420166015625,-56.1904239654541,1.0,3.7702579498291016,338.47928384923745,275.62531706383
51,These actresses were referenced by some lady.,These actresses were referenced by some box.,-52.74324417114258,-57.84863471984863,1.0,5.105390548706055,195.25851862984453,325.33761938094045
52,Stacey wasn't fired by some guest.,Stacey wasn't fired by some geese.,-55.74302053451538,-60.261491775512695,1.0,4.5184712409973145,158.78440224011626,151.6827215861988
53,A mall is explored by the people.,A mall is explored by the beef.,-42.14479923248291,-51.89684772491455,1.0,9.75204849243164,108.06743930745213,319.35917629379276
54,The women were kissed by some teenagers.,The women were kissed by some glasses.,-45.218645095825195,-48.422607421875,1.0,3.2039623260498047,152.0628465496754,425.3132378704434
55,The commentaries weren't examined by some lady.,The commentaries weren't examined by some bike.,-62.92353820800781,-67.64244794845581,1.0,4.718909740447998,305.0030130080201,468.3956992346736
56,Homer isn't described by the boys.,Homer isn't described by the snake.,-48.14032554626465,-51.40451908111572,1.0,3.264193534851074,123.22753871191698,170.79293359629418
57,Spain is toured by the actress.,Spain is toured by the turtle.,-44.821441650390625,-47.48027324676514,1.0,2.6588315963745117,271.1521781598869,115.35649900862177
58,Some hills aren't climbed down by some drivers.,Some hills aren't climbed down by some government.,-60.07306098937988,-66.82125806808472,1.0,6.748197078704834,235.37673606027917,434.701602470858
59,Aaron isn't referenced by the teacher.,Aaron isn't referenced by the picture.,-49.36746597290039,-50.883426666259766,1.0,1.515960693359375,139.316259557907,162.12095081484284
60,Carolyn is referenced by some adults.,Carolyn is referenced by some book.,-52.66301965713501,-51.92057991027832,0.0,0.7424397468566895,347.7370631641168,320.2024088101467
61,Donna wasn't disliked by the patients.,Donna wasn't disliked by the apple.,-46.505332946777344,-54.25828170776367,1.0,7.752948760986328,48.204116030363565,91.97561390354677
62,The commentaries weren't scanned by the patient.,The commentaries weren't scanned by the snake.,-58.9042854309082,-59.56035804748535,1.0,0.6560726165771484,135.46190441693477,143.07417050057094
63,Many grocery stores are passed by the children.,Many grocery stores are passed by the trucks.,-49.04638051986694,-48.90698289871216,0.0,0.13939762115478516,232.66457766593248,229.08868766690813
64,Some book isn't scanned by some dancer.,Some book isn't scanned by some reports.,-62.28508186340332,-58.69019317626953,0.0,3.594888687133789,179.54457191654956,207.57072125609952
65,Julia was talked to by the lady.,Julia was talked to by the sheep.,-43.36188507080078,-45.22006607055664,1.0,1.8581809997558594,225.9323535405961,285.005437438884
66,A lot of malls are exited by some children.,A lot of malls are exited by some screens.,-56.25051498413086,-60.27589416503906,1.0,4.025379180908203,108.5860466483695,151.86488034778446
67,Mitchell was discussed by some boy.,Mitchell was discussed by some pork.,-53.65110445022583,-55.69532775878906,1.0,2.0442233085632324,2131.206420342025,1055.6542225182297
68,Kevin was loved by the teenagers.,Kevin was loved by the broccoli.,-41.56687927246094,-45.617560386657715,1.0,4.050681114196777,180.5233097018585,158.95447186412144
69,The cafes aren't appreciated by some driver.,The cafes aren't appreciated by some ellipsis.,-56.924105167388916,-66.20020914077759,1.0,9.276103973388672,176.7822327363086,162.7676591655357
70,Many glasses aren't cleaned by the men.,Many glasses aren't cleaned by the committees.,-52.80269145965576,-58.57260704040527,1.0,5.769915580749512,196.42273462462092,131.76902597863975
71,Cilantro wasn't hidden by some teacher.,Cilantro wasn't hidden by some fish.,-58.20639610290527,-58.554067611694336,1.0,0.3476715087890625,127.80849471787475,131.5656062840198
72,That hill is seen by the children.,That hill is seen by the rabbits.,-46.33489227294922,-50.19586372375488,1.0,3.860971450805664,327.6223372304696,264.3616868669973
73,Debra wasn't admired by the drivers.,Debra wasn't admired by the geese.,-50.92205476760864,-52.78900909423828,1.0,1.8669543266296387,102.4400455668501,81.37630125018157
74,These sketches were researched by some girls.,These sketches were researched by some axes.,-51.02712559700012,-59.24548816680908,1.0,8.21836256980896,50.66136089218569,68.84245157374397
75,Bethany isn't thought about by the ladies.,Bethany isn't thought about by the windows.,-53.38595485687256,-58.70292854309082,1.0,5.316973686218262,128.15860819405884,207.81117763166122
76,A grocery store is researched by the actor.,A grocery store is researched by the ellipsis.,-50.011465072631836,-55.049838066101074,1.0,5.038372993469238,64.56174736743887,51.01559092590671
77,That cafe isn't driven to by some teachers.,That cafe isn't driven to by some documentary.,-65.61058616638184,-66.62262725830078,1.0,1.0120410919189453,236.87885431018267,257.7230618833167
78,Spain wasn't toured by some customer.,Spain wasn't toured by some company.,-59.19980049133301,-55.729103088378906,0.0,3.4706974029541016,372.4042840138378,263.19897599257894
79,That ladder wasn't descended by the cashier.,That ladder wasn't descended by the convertibles.,-60.054222106933594,-65.39781188964844,1.0,5.343589782714844,149.08528263904796,232.7157280642054
80,Thomas wasn't hugged by some guest.,Thomas wasn't hugged by some projectors.,-56.68032646179199,-61.127384662628174,1.0,4.447058200836182,289.46449476101833,259.05359462062347
81,That fish is taken by the teacher.,That fish is taken by the series.,-45.7232551574707,-47.5399169921875,1.0,1.8166618347167969,303.50767384694353,380.8820031054342
82,This art gallery wasn't passed by some woman.,This art gallery wasn't passed by some teeth.,-59.42585468292236,-63.85916805267334,1.0,4.433313369750977,221.92742759888466,332.08099960700616
83,These unicycles are seen by the guests.,These unicycles are seen by the deer.,-49.696006774902344,-51.38141632080078,1.0,1.6854095458984375,143.96938567440588,170.39881021765433
84,Timothy was praised by the waitresses.,Timothy was praised by the geese.,-47.71876811981201,-45.81380367279053,0.0,1.9049644470214844,118.14076201752106,162.4585074360271
85,Curtis is concealed by some teenager.,Curtis is concealed by some paralysis.,-53.78444051742554,-53.76686191558838,0.0,0.017578601837158203,393.88104457154446,132.67420515531902
86,These universities were boycotted by some lady.,These universities were boycotted by some mirrors.,-58.110666275024414,-58.824119091033936,1.0,0.7134528160095215,333.975162855122,210.1133590539574
87,Many malls aren't messed up by some actresses.,Many malls aren't messed up by some skateboards.,-68.53331756591797,-65.83778858184814,0.0,2.695528984069824,133.65167416507688,80.57479677036876
88,Deanna isn't boasted about by some waiters.,Deanna isn't boasted about by some wheelbarrows.,-67.43020391464233,-72.91938591003418,1.0,5.489181995391846,178.91999715519842,182.82466247710167
89,Jacqueline was talked to by the cashiers.,Jacqueline was talked to by the feet.,-49.3786678314209,-49.88123416900635,1.0,0.5025663375854492,89.02968049601846,146.66094364793818
90,That patient wasn't helped by the boy.,That patient wasn't helped by the reports.,-49.37706470489502,-48.873724937438965,0.0,0.5033397674560547,139.4500497022206,132.6046962437176
91,Deborah isn't watched by some children.,Deborah isn't watched by some fish.,-53.44710350036621,-55.96539640426636,1.0,2.5182929039001465,128.87302160418832,162.02705208635086
92,Some hill was escaped from by the actresses.,Some hill was escaped from by the fungus.,-60.92308044433594,-60.42119598388672,0.0,0.5018844604492188,442.44140802309306,242.94522308710694
93,Theodore is referenced by some driver.,Theodore is referenced by some muffins.,-54.92753791809082,-55.42769432067871,1.0,0.5001564025878906,447.2240809533361,154.29730633292385
94,Every skateboard isn't lifted by the man.,Every skateboard isn't lifted by the oxen.,-55.98678016662598,-59.83066463470459,1.0,3.8438844680786133,106.22558720116704,99.71925802601291
95,All public parks were explored by some teenager.,All public parks were explored by some screen.,-54.611350536346436,-60.26846408843994,1.0,5.657113552093506,431.78502512957635,809.5641446571836
96,This cake is seen by the pedestrians.,This cake is seen by the parentheses.,-44.63026523590088,-48.11713695526123,1.0,3.4868717193603516,86.74966208885873,122.94212246029117
97,Every person wasn't cared for by the offspring.,Every person wasn't cared for by the fungus.,-54.52631378173828,-56.067415714263916,1.0,1.5411019325256348,94.0530967473463,74.65504709894564
98,Edward wasn't insulted by some alumni.,Edward wasn't insulted by some oxen.,-58.021602630615234,-58.30427694320679,1.0,0.28267431259155273,125.8553903930046,200.4147186796324
99,Brad was investigated by the actresses.,Brad was investigated by the rabbits.,-47.46455001831055,-45.56473159790039,0.0,1.8998184204101562,377.31061183192014,297.5527290359868
